Isolate,katG,PinhA,RRDR,PpncA,pncA,PembA,embB,rpsL,rrs_str,gidB,rrs_inj,Peis,gyrA,gyrB,PethA,ethA,rpoA,rpoC,rpoB
2405Q,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1854R,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
1127B,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
2010L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0519Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0834H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0358Q,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
1837Y,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
2162B,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
0812J,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
2533E,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0567S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2251Y,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1192X,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0159Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0430T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0176S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2440D,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0123K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0281G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0702P,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2236G,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0221R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0327G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0886P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0671F,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1766W,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1269F,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2314R,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0640X,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1193Y,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0752T,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0730V,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0600D,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2092A,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2146J,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2411X,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0251Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0398J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0459A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1053W,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2227X,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2495N,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
1012B,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1738Q,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
0278D,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1636E,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0346C,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
1065J,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
2363V,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
2526X,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0507C,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0573Z,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0314S,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2225V,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0
2565P,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0
0545T,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0448N,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1190V,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2042W,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0
2323B,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0945D,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0750R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2219N,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0575B,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0236H,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
0836K,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0400L,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1011A,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0793N,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1
0373G,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1
0977N,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1
0988A,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1
0529B,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1
0309M,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1
2585L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1614F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0991D,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
2353J,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
2349E,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2204X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0105Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0786F,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
0555E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1373T,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0663X,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
