Isolate,katG,PinhA,RRDR,PpncA,pncA,PembA,embB
2591S,0,0,0,0,0,0,0
2376J,0,0,0,0,0,0,0
0671F,1,1,1,0,1,0,1
1766W,1,1,1,0,1,0,1
1269F,1,1,1,0,1,0,1
2314R,1,1,1,0,1,1,1
0640X,1,1,1,0,0,1,1
2379M,1,1,0,0,0,0,0
1193Y,1,1,1,0,0,0,1
0752T,1,1,1,0,0,0,1
2051F,1,1,0,0,0,0,1
0730V,1,1,0,0,0,0,0
0600D,1,1,1,0,1,0,1
2092A,1,1,1,0,1,0,1
0585M,1,1,1,0,1,0,1
1295J,1,1,1,0,0,1,0
2146J,1,0,1,0,0,0,0
1191W,1,0,0,0,0,0,0
2482Z,0,0,0,0,0,0,0
2126M,1,0,0,0,0,0,0
2411X,1,0,1,0,1,0,0
2559H,0,0,0,0,0,0,0
0527Z,0,0,0,0,0,0,0
2478V,0,0,0,0,0,0,0
2336Q,0,0,0,0,0,0,0
0717F,0,0,0,0,0,0,0
1189T,0,0,0,0,0,0,0
1604V,0,0,0,0,0,0,0
0379N,0,0,0,0,0,0,0
2593V,0,0,0,0,0,0,0
1054X,1,0,0,0,1,0,0
0838M,0,0,0,0,0,0,0
0101L,0,0,0,0,0,0,0
0437B,0,0,0,0,0,0,0
2034M,0,0,0,0,0,0,0
1691P,0,0,0,0,0,0,0
2303E,0,0,0,0,0,0,0
2324C,0,0,0,0,0,0,0
0857H,0,0,0,0,0,0,1
0251Z,0,0,0,0,0,0,0
2388X,0,0,0,0,0,0,0
0398J,0,0,0,0,0,0,0
2433W,0,0,0,0,1,0,0
0749Q,0,0,0,0,0,0,0
1634C,0,0,0,0,0,0,0
0459A,0,0,0,0,0,0,0
0364X,0,0,0,0,0,0,0
0344A,0,0,1,0,1,0,1
1053W,1,1,1,0,0,0,1
1555R,1,1,1,0,0,0,1
2227X,1,0,1,0,0,0,1
1507P,1,1,0,0,1,1,0
0845V,0,0,0,0,0,0,0
2462C,1,0,0,0,0,0,0
2271V,0,0,0,0,0,0,0
2237H,0,0,0,0,0,0,0
2586M,0,0,0,0,0,0,0
0516M,0,0,0,0,0,0,0
1744X,0,0,0,0,0,0,0
0286M,0,0,0,0,0,0,0
0351H,0,0,0,0,0,0,0
0963Y,0,1,0,0,0,0,0
0617X,0,0,0,0,0,0,0
2495N,1,0,1,0,0,0,1
1012B,1,0,1,0,0,0,0
1738Q,1,0,1,0,0,0,0
0029H,1,0,1,0,0,0,1
0278D,1,0,1,0,0,0,0
0166G,1,0,1,0,0,0,0
1636E,1,0,1,0,0,0,0
0346C,1,0,1,0,0,0,1
1065J,1,0,1,0,0,0,1
2363V,1,0,1,0,0,0,1
2526X,1,0,1,0,0,0,1
0507C,1,0,1,1,0,0,1
0573Z,1,0,1,1,0,0,1
0314S,1,0,1,0,0,0,0
0705S,1,0,0,0,0,0,0
0472P,1,1,1,0,1,0,1
2225V,1,1,1,0,1,0,1
2565P,1,1,1,0,1,0,1
0601E,0,0,0,0,0,0,0
1292F,0,0,0,0,0,0,0
2589Q,0,0,0,0,0,0,0
0019X,0,0,0,0,0,0,0
1601R,0,0,0,0,0,0,0
1945Q,0,0,0,0,0,0,0
2597Z,0,0,0,0,0,0,0
0545T,1,0,0,0,0,0,1
2001B,1,0,0,0,0,0,1
2378L,0,0,0,0,0,0,0
0955P,0,0,0,0,0,0,0
0502X,0,0,0,0,0,0,0
0604H,1,0,0,0,0,0,0
0448N,1,0,1,0,0,0,1
0445K,1,0,1,0,0,0,1
2085S,1,0,0,0,0,0,0
1072R,1,0,0,0,0,0,0
2570V,1,0,0,0,0,0,0
0660T,0,0,0,0,0,0,0
0548X,0,0,0,0,0,0,0
1456J,0,0,0,0,0,0,0
0851B,0,0,0,0,0,0,0
1616H,0,0,0,0,0,0,0
0200T,0,0,0,0,0,0,0
2500T,0,0,0,0,0,0,0
1190V,1,1,1,0,1,0,0
1919M,1,1,0,0,1,0,0
0179W,1,0,0,0,0,0,1
1455H,1,0,0,0,0,0,1
2042W,1,1,1,0,0,0,1
2323B,1,0,0,0,0,0,0
2625E,1,0,0,0,0,0,0
0635R,1,0,0,0,0,0,0
2276A,1,0,0,0,0,0,0
0014R,1,0,0,0,0,0,0
0290R,1,0,0,0,0,0,0
0945D,1,1,1,0,0,0,0
0138B,1,1,1,0,0,0,0
1589D,1,0,1,0,0,0,0
1814Y,0,0,0,0,0,0,0
0904J,1,0,0,0,0,0,0
1732J,0,0,0,0,0,0,0
0124L,1,0,0,0,0,0,0
0132V,1,0,0,0,0,0,0
2361S,0,0,0,0,0,0,0
0473Q,0,0,0,0,0,0,0
0750R,0,0,0,0,0,0,0
1137M,0,0,0,0,0,0,0
2219N,1,1,1,0,1,0,1
0575B,1,1,1,0,0,0,1
2170K,0,0,0,0,0,0,0
0825Y,0,0,0,0,0,0,0
2636R,0,0,0,0,1,0,0
1955B,1,0,0,0,0,0,0
0429S,0,0,0,0,0,0,0
0236H,1,0,0,0,0,0,1
0336R,0,0,0,0,0,0,0
1551M,0,0,0,0,0,0,0
1504L,0,0,0,0,0,0,0
0724N,0,0,0,0,0,0,0
2345A,0,0,0,0,0,0,0
2515K,0,0,0,0,0,0,0
2199R,0,0,0,0,0,0,0
2111W,0,0,0,0,0,0,0
0636S,0,0,0,0,0,0,0
1849L,0,0,0,0,0,0,0
0836K,1,0,1,0,0,0,0
1178G,1,0,1,0,0,0,0
1673V,0,0,0,0,0,0,0
0400L,1,0,1,0,0,0,0
0842R,1,0,0,0,0,1,0
0902G,0,0,0,0,0,0,0
0353K,0,0,0,0,0,0,0
1336D,0,0,0,0,0,0,0
0972H,0,0,0,0,0,0,0
2517M,0,0,0,0,0,0,0
2408T,0,0,0,0,0,0,0
1011A,1,0,1,0,0,0,1
0793N,1,0,1,0,1,0,1
0063V,1,0,1,0,1,0,1
0373G,1,0,1,0,1,0,1
0977N,1,0,1,0,1,0,1
0988A,1,0,1,0,1,0,1
0529B,1,0,1,0,1,0,1
0309M,1,0,1,0,1,0,1
2370C,0,0,0,0,0,0,0
0197Q,0,0,0,0,0,0,0
1524H,0,0,0,0,0,0,0
2507B,0,0,0,0,0,0,0
1711L,0,0,0,0,0,0,0
2315S,1,0,0,0,0,0,0
0875C,1,1,0,0,0,0,0
2027E,1,1,0,0,0,0,0
1820E,1,1,0,0,0,0,0
2391A,0,0,0,0,0,0,0
2585L,0,0,0,0,0,0,0
0023B,0,0,0,0,0,0,0
0910Q,1,0,0,0,0,0,1
0889S,0,0,0,0,0,0,0
0912S,0,0,0,0,0,0,0
0018W,0,0,0,0,0,0,0
0355M,0,0,0,0,0,0,0
0528A,0,0,0,0,0,0,0
1862A,0,1,0,0,0,0,0
1680C,0,0,0,0,0,0,0
1418S,1,0,0,0,0,0,0
2367Z,1,0,0,0,0,0,0
1614F,0,0,0,0,0,0,0
0991D,1,0,1,0,1,0,1
2353J,1,0,1,0,0,0,1
2349E,1,0,1,0,0,1,0
0043Y,0,0,0,0,0,0,0
0013Q,0,0,0,0,0,0,0
0030J,0,0,0,0,0,0,0
0547W,0,0,0,0,0,0,0
0536J,0,0,0,0,0,0,0
0464F,1,0,1,0,0,0,1
1203J,0,0,0,0,0,0,0
2511F,0,0,0,0,0,0,0
2392B,0,0,0,0,0,0,0
1867F,0,0,0,0,0,0,0
0498S,0,0,0,0,0,0,0
2334N,0,0,0,0,0,0,0
2438B,0,0,0,0,0,0,0
0195N,0,0,0,0,0,0,0
0678N,0,0,0,0,0,0,0
0275A,0,0,0,0,0,0,0
0235G,0,0,0,0,0,0,0
1466V,0,0,0,0,0,0,0
0953M,0,0,0,0,0,0,0
0457Y,0,0,0,0,0,0,0
1076W,0,0,0,0,0,0,0
0620A,0,0,0,0,0,0,0
2347C,0,0,0,0,0,0,0
1343L,0,0,0,0,0,0,0
2202V,0,0,0,0,0,0,0
2204X,0,0,0,0,0,0,0
1511T,0,0,0,0,0,0,0
0105Q,0,0,0,0,0,0,0
0054K,0,0,0,0,0,0,0
1074T,0,0,0,0,0,0,0
2326E,0,0,0,0,1,0,0
2267Q,0,1,0,0,0,0,0
0786F,1,0,1,0,0,0,0
2013P,0,0,0,0,0,0,0
1397V,0,0,0,0,0,0,0
0036Q,0,0,0,0,0,0,0
0277C,0,0,0,0,0,0,0
1638G,0,0,0,0,0,0,0
0520R,0,0,0,0,0,0,0
0555E,0,0,0,0,0,0,0
1373T,1,1,1,0,0,0,0
0663X,1,1,1,0,0,0,0
1376X,0,0,0,0,0,0,1
