Isolate,katG,PinhA,RRDR,PpncA,pncA,PembA,embB
2080M,1,0,1,0,1,1,1
0455W,1,0,1,0,1,0,1
0450Q,1,0,1,0,1,0,1
0629K,1,0,1,0,1,0,1
1739R,1,0,1,0,1,0,1
1858W,1,1,1,0,1,0,1
0831E,1,0,1,0,1,0,1
0896A,1,0,1,0,0,0,1
2403N,1,0,1,0,1,0,1
0840P,1,0,1,0,0,0,1
0044Z,1,0,1,0,1,0,1
0323C,1,0,1,0,0,0,1
0460B,1,0,1,0,1,1,1
0057N,1,0,1,0,1,1,1
0943B,1,0,1,0,1,1,1
2487E,1,0,1,0,1,1,1
2028F,1,1,1,0,1,1,1
0511G,1,1,1,0,1,1,1
2339T,1,0,1,0,1,1,1
0111X,1,0,1,0,1,1,1
1392P,1,0,1,0,1,1,1
1659E,1,0,1,0,0,0,1
1605W,1,0,1,0,0,0,1
2294V,1,0,1,0,1,0,1
2505Z,1,0,1,0,0,0,1
0775T,1,0,1,0,0,0,1
0867T,1,0,1,0,1,0,1
2275Z,1,0,1,0,1,0,1
2273X,1,0,1,0,1,0,1
2310M,1,0,1,0,1,0,1
2280E,1,0,1,0,0,0,1
0360S,1,0,1,0,1,0,1
0125M,1,0,1,1,0,0,1
0180X,1,0,1,0,1,0,1
0758A,1,0,1,0,1,0,1
1586A,1,0,1,1,0,0,1
0443H,1,0,1,0,1,0,1
2514J,1,0,1,0,0,1,0
0427Q,1,0,0,0,1,0,0
0311P,1,0,1,0,1,0,1
0161B,1,0,1,0,1,0,1
2489G,1,0,1,0,0,0,1
0066Y,1,0,1,0,1,0,1
0041W,1,0,1,0,1,0,1
0784D,1,0,1,0,0,0,1
0482A,1,0,1,0,0,0,1
2381P,1,0,1,0,0,0,1
2341W,1,0,1,0,0,0,1
1506N,1,0,1,0,0,0,1
0224V,1,0,1,0,1,0,1
0770N,1,0,1,1,0,0,1
1048Q,1,0,1,0,1,0,1
1678A,1,0,1,0,1,0,1
1818C,1,0,1,0,0,0,1
2497Q,1,0,1,0,0,0,1
2372E,1,0,0,0,0,0,0
2082P,1,0,1,0,0,0,0
0756Y,0,0,0,0,0,0,0
2539L,0,0,0,0,0,0,0
0592V,0,0,0,0,0,0,0
0823W,0,0,0,0,0,0,0
1767X,0,0,0,0,0,0,0
0639W,0,0,0,0,0,0,0
2499S,0,0,0,0,0,0,0
0417E,0,0,0,0,0,0,0
2004E,0,0,0,0,0,0,0
1370Q,0,0,0,0,0,0,0
2008J,0,0,0,0,0,0,0
2518N,0,0,0,0,0,0,0
0407T,0,0,0,0,0,0,0
1798F,0,0,1,0,0,0,0
0734Z,0,0,0,0,0,0,0
1039F,0,0,0,0,0,1,0
1588C,0,0,0,0,0,0,0
0193L,0,0,1,0,0,0,0
0392C,0,0,0,0,0,0,0
